,case_name,fish_period,KLD
0,sfe_322_n0,chsp,4.774658260722548
1,sfe_322_s0,chsp,4.7607308969694095
2,sfe_322_s1,chsp,0.6129518640110768
3,sfe_322_s2,chsp,0.27115743345418375
4,sfe_322_n0,chfr,7.27719990398038
5,sfe_322_s0,chfr,4.736904013725061
6,sfe_322_s1,chfr,3.5049940736051832
7,sfe_322_s2,chfr,1.3401896421223465
8,sfe_322_n0,chju,1.2207486137004477
9,sfe_322_s0,chju,1.045315677222227
10,sfe_322_s1,chju,1.1612430346506146
11,sfe_322_s2,chju,1.3299565050424231
12,sfe_25_n0,chsp,23.786530776352095
13,sfe_25_s0,chsp,23.786530776352095
14,sfe_25_s1,chsp,18.853111231272415
15,sfe_25_s2,chsp,6.541443188207338
16,sfe_25_n0,chfr,5.074066155943106
17,sfe_25_s0,chfr,5.1280226909956514
18,sfe_25_s1,chfr,0.15155286545808488
19,sfe_25_s2,chfr,2.1509142327037116
20,sfe_25_n0,chju,4.073438128848369
21,sfe_25_s0,chju,6.578863172173903
22,sfe_25_s1,chju,0.31076974097346544
23,sfe_25_s2,chju,1.1837786919287314
24,sfe_209_n0,chsp,25.984194943940054
25,sfe_209_s0,chsp,1.168360956174931
26,sfe_209_s1,chsp,10.829716114431598
27,sfe_209_s2,chsp,4.14230289315277
28,sfe_209_n0,chfr,18.066309565739655
29,sfe_209_s0,chfr,1.5885477845229101
30,sfe_209_s1,chfr,15.600104372088078
31,sfe_209_s2,chfr,0.2367334732625042
32,sfe_209_n0,chju,9.086113743766683
33,sfe_209_s0,chju,0.7028616225974174
34,sfe_209_s1,chju,11.276337471896769
35,sfe_209_s2,chju,4.495942823180913
