,case_name,fish_period,KLD
0,sfe_322_n0,chsp,0.8127431817586596
1,sfe_322_s0,chsp,0.6670056417736283
2,sfe_322_s1,chsp,0.4760301336084588
3,sfe_322_s2,chsp,0.11756452631760773
4,sfe_322_n0,chfr,1.6026502223457006
5,sfe_322_s0,chfr,1.8562662863380863
6,sfe_322_s1,chfr,0.07373390921435645
7,sfe_322_s2,chfr,0.18157909910342865
8,sfe_322_n0,chju,1.2207486137004477
9,sfe_322_s0,chju,1.045315677222227
10,sfe_322_s1,chju,1.1612430346506146
11,sfe_322_s2,chju,1.3299565050424231
12,sfe_81_n0,chsp,1.6440783264439902
13,sfe_81_s0,chsp,1.981139792844115
14,sfe_81_s1,chsp,1.6171676822312007
15,sfe_81_s2,chsp,3.2366303537905243
16,sfe_81_n0,chfr,4.1290343802248906
17,sfe_81_s0,chfr,0.7554596655487253
18,sfe_81_s1,chfr,0.10021372653662981
19,sfe_81_s2,chfr,0.13125631538656543
20,sfe_81_n0,chju,0.29808385193595466
21,sfe_81_s0,chju,0.19195178626890722
22,sfe_81_s1,chju,0.425533973493816
23,sfe_81_s2,chju,0.34322224611244984
24,sfe_25_n0,chsp,7.4197435456114915
25,sfe_25_s0,chsp,7.4197435456114915
26,sfe_25_s1,chsp,4.0528207988685825
27,sfe_25_s2,chsp,3.7905600599539735
28,sfe_25_n0,chfr,3.5402574707779073
29,sfe_25_s0,chfr,3.5584718546938356
30,sfe_25_s1,chfr,0.007186147287920712
31,sfe_25_s2,chfr,0.02810045553813551
32,sfe_25_n0,chju,2.8618152413408477
33,sfe_25_s0,chju,2.8983384644975705
34,sfe_25_s1,chju,0.2696434402806371
35,sfe_25_s2,chju,0.3676799261289566
36,sfe_316_n0,chsp,19.1717339414887
37,sfe_316_s0,chsp,2.5935828536699184
38,sfe_316_s1,chsp,20.993166706556444
39,sfe_316_s2,chsp,6.118276659168447
40,sfe_316_n0,chfr,27.14889154975753
41,sfe_316_s0,chfr,2.0021350287884148
42,sfe_316_s1,chfr,3.7775254469587454
43,sfe_316_s2,chfr,0.7704732855815584
44,sfe_316_n0,chju,1.7197683282451437
45,sfe_316_s0,chju,0.8646204925191996
46,sfe_316_s1,chju,1.219166002599392
47,sfe_316_s2,chju,7.754427436806215
48,sfe_221_n0,chsp,5.481139375827552
49,sfe_221_s0,chsp,4.926927875039632
50,sfe_221_s1,chsp,17.211444739822767
51,sfe_221_s2,chsp,0.8200638459847672
52,sfe_221_n0,chfr,1.2171581411707701
53,sfe_221_s0,chfr,1.3351832353375805
54,sfe_221_s1,chfr,0.12616434503154303
55,sfe_221_s2,chfr,0.08645375041691943
56,sfe_221_n0,chju,3.3385666369010383
57,sfe_221_s0,chju,1.7348634027671759
58,sfe_221_s1,chju,0.06853851103746304
59,sfe_221_s2,chju,0.1626630533495202
60,sfe_209_n0,chsp,25.312269874954488
61,sfe_209_s0,chsp,0.3961449586462368
62,sfe_209_s1,chsp,4.780567005405551
63,sfe_209_s2,chsp,0.4814545331746423
64,sfe_209_n0,chfr,17.99922472825409
65,sfe_209_s0,chfr,0.017466014373565743
66,sfe_209_s1,chfr,11.259058709710223
67,sfe_209_s2,chfr,0.1866530332186084
68,sfe_209_n0,chju,0.5905171673112776
69,sfe_209_s0,chju,0.3436846436640773
70,sfe_209_s1,chju,0.6324404584365722
71,sfe_209_s2,chju,0.9729282032227855
