,site_name,version,flow_condition,KLD_ds,KLD_vs
0,sfe_322,n0,base,20.174006214576195,2.2602868059549013
1,sfe_322,s0,base,14.80948386265909,1.1593606578795381
2,sfe_322,s1,base,20.19264201659316,2.4434555235026307
3,sfe_322,s2,base,2.2564650899188856,0.2780018158915538
4,sfe_25,n0,base,18.20417102785396,4.833138715821372
5,sfe_25,s0,base,18.179881011022417,4.827217115602927
6,sfe_25,s1,base,15.975903356706368,3.0675075050817617
7,sfe_25,s2,base,0.3749654624405452,0.29286130724951576
8,sfe_209,n0,base,5.191614490263738,2.4230587317820986
9,sfe_209,s0,base,0.29499456501061555,0.03784729944204398
10,sfe_209,s1,base,5.23528488763952,2.1145584419407673
11,sfe_209,s2,base,0.3320953520042537,0.310432208581162
12,sfe_322,n0,bf,5.009524702311038,0.7616462993692545
13,sfe_322,s0,bf,3.5115424460201226,0.535354373718811
14,sfe_322,s1,bf,3.431379247720952,0.47422620966234946
15,sfe_322,s2,bf,0.3982453754194657,0.4056219703341478
16,sfe_25,n0,bf,6.659388526686207,4.1377119282341805
17,sfe_25,s0,bf,6.660300524922598,4.172333362657208
18,sfe_25,s1,bf,0.08562352186892429,0.14069352560353166
19,sfe_25,s2,bf,0.289127000432799,0.45626337433885117
20,sfe_209,n0,bf,3.4694947645779033,0.46842235976881685
21,sfe_209,s0,bf,0.22403945493193192,0.18879989638137795
22,sfe_209,s1,bf,2.646056157230742,0.5172479888329857
23,sfe_209,s2,bf,0.4206610062828696,0.21223946059007326
