,site_name,version,flow_condition,KLDs,,site_name,version,flow_condition,KLDs,,,,,,,,,,,
0,sfe_322,n0,base,23.68251084,40,sfe_322,n0,bf,9.708234349,,23.68251084,23.22949397,19.97861362,15.74112142,28.45471563,25.10259382,18.29556393,26.18824878,24.31402937,23.32387486
1,sfe_322,s0,base,19.7935398,41,sfe_322,s0,bf,6.930356371,,19.7935398,21.31410478,19.06863575,8.536832129,15.35404061,25.08612744,3.785923899,26.14965854,13.21427254,1.425791484
2,sfe_322,s1,base,24.16357411,42,sfe_322,s1,bf,9.254702869,,24.16357411,23.07636924,18.60811276,15.34148271,27.15512816,22.09756606,18.73062073,21.76601522,24.15852396,24.27480446
3,sfe_322,s2,base,9.486327808,43,sfe_322,s2,bf,3.404402326,,9.486327808,3.223670326,1.95644688,1.629012039,5.18589031,4.995462321,3.849833212,13.16073632,3.521812494,3.700017752
4,sfe_82,n0,base,23.22949397,44,sfe_82,n0,bf,21.28351583,,,,,,,,,,,
5,sfe_82,s0,base,21.31410478,45,sfe_82,s0,bf,16.89140947,,,,,,,,,,,
6,sfe_82,s1,base,23.07636924,46,sfe_82,s1,bf,13.47293888,,23.683,19.794,24.164,9.486,,,,,,
7,sfe_82,s2,base,3.223670326,47,sfe_82,s2,bf,11.10680381,,23.229,21.314,23.076,3.224,,,,,,
8,sfe_4523,n0,base,19.97861362,48,sfe_4523,n0,bf,13.02247344,,19.979,19.069,18.608,1.956,,,,,,
9,sfe_4523,s0,base,19.06863575,49,sfe_4523,s0,bf,11.67209821,,15.741,8.537,15.341,1.629,,,,,,
10,sfe_4523,s1,base,18.60811276,50,sfe_4523,s1,bf,6.851141747,,28.455,15.354,27.155,5.186,,,,,,
11,sfe_4523,s2,base,1.95644688,51,sfe_4523,s2,bf,2.360560322,,25.103,25.086,22.098,4.995,,,,,,
12,sfe_81,n0,base,15.74112142,52,sfe_81,n0,bf,3.466834742,,18.296,3.786,18.731,3.850,,,,,,
13,sfe_81,s0,base,8.536832129,53,sfe_81,s0,bf,3.093614657,,26.188,26.150,21.766,13.161,,,,,,
14,sfe_81,s1,base,15.34148271,54,sfe_81,s1,bf,2.887566797,,24.314,13.214,24.159,3.522,,,,,,
15,sfe_81,s2,base,1.629012039,55,sfe_81,s2,bf,1.613638926,,23.324,1.426,24.275,3.700,,,,,,
16,sfe_24,n0,base,28.45471563,56,sfe_24,n0,bf,19.65490894,,,,,,,,,,,
17,sfe_24,s0,base,15.35404061,57,sfe_24,s0,bf,14.46333637,,,,,,,,,,,
18,sfe_24,s1,base,27.15512816,58,sfe_24,s1,bf,19.79361052,,,,,,,,,,,
19,sfe_24,s2,base,5.18589031,59,sfe_24,s2,bf,14.02507887,,,,,,,,,,,
20,sfe_25,n0,base,25.10259382,60,sfe_25,n0,bf,17.2366251,,,,,,,,,,,
21,sfe_25,s0,base,25.08612744,61,sfe_25,s0,bf,18.13524174,,,,,,,,,,,
22,sfe_25,s1,base,22.09756606,62,sfe_25,s1,bf,2.645245894,,,,,,,,,,,
23,sfe_25,s2,base,4.995462321,63,sfe_25,s2,bf,5.841408129,,,,,,,,,,,
24,sfe_316,n0,base,18.29556393,64,sfe_316,n0,bf,12.59693637,,,,,,,,,,,
25,sfe_316,s0,base,3.785923899,65,sfe_316,s0,bf,2.042812005,,,,,,,,,,,
26,sfe_316,s1,base,18.73062073,66,sfe_316,s1,bf,11.40250177,,,,,,,,,,,
27,sfe_316,s2,base,3.849833212,67,sfe_316,s2,bf,1.657438016,,,,,,,,,,,
28,sfe_2248,n0,base,26.18824878,68,sfe_2248,n0,bf,17.26151916,,,,,,,,,,,
29,sfe_2248,s0,base,26.14965854,69,sfe_2248,s0,bf,17.15047874,,,,,,,,,,,
30,sfe_2248,s1,base,21.76601522,70,sfe_2248,s1,bf,6.182236575,,,,,,,,,,,
31,sfe_2248,s2,base,13.16073632,71,sfe_2248,s2,bf,14.72456711,,,,,,,,,,,
32,sfe_221,n0,base,24.31402937,72,sfe_221,n0,bf,12.90622717,,,,,,,,,,,
33,sfe_221,s0,base,13.21427254,73,sfe_221,s0,bf,8.2385628,,,,,,,,,,,
34,sfe_221,s1,base,24.15852396,74,sfe_221,s1,bf,7.82708854,,,,,,,,,,,
35,sfe_221,s2,base,3.521812494,75,sfe_221,s2,bf,4.524788698,,,,,,,,,,,
36,sfe_209,n0,base,23.32387486,76,sfe_209,n0,bf,16.42913296,,,,,,,,,,,
37,sfe_209,s0,base,1.425791484,77,sfe_209,s0,bf,1.086219829,,,,,,,,,,,
38,sfe_209,s1,base,24.27480446,78,sfe_209,s1,bf,14.62814544,,,,,,,,,,,
39,sfe_209,s2,base,3.700017752,79,sfe_209,s2,bf,2.761167766,,,,,,,,,,,
