,Case_name,DKL
0,sfe_322_n0,10.943194438387023
1,sfe_322_s0,8.009918924155313
2,sfe_322_s1,9.939589824725312
3,sfe_322_s2,3.7690725205759534
4,sfe_82_n0,4.023287651468433
5,sfe_82_s0,5.076997581980827
6,sfe_82_s1,4.4850623534093055
7,sfe_82_s2,2.841712108248497
8,sfe_4523_n0,8.448168396735511
9,sfe_4523_s0,7.773242838133892
10,sfe_4523_s1,3.7332394589007887
11,sfe_4523_s2,1.389063357558433
12,sfe_81_n0,3.089568166130994
13,sfe_81_s0,2.9599375104160943
14,sfe_81_s1,2.6785041675177537
15,sfe_81_s2,1.5605393908393108
16,sfe_24_n0,14.143990964486829
17,sfe_24_s0,8.494362919509594
18,sfe_24_s1,14.250575597194397
19,sfe_24_s2,7.934673714175503
20,sfe_25_n0,15.375621520218207
21,sfe_25_s0,16.173852783285994
22,sfe_25_s1,2.1675900990760866
23,sfe_25_s2,5.069872701303048
24,sfe_316_n0,10.16624918789504
25,sfe_316_s0,1.801013381556487
26,sfe_316_s1,9.666068522180643
27,sfe_316_s2,1.4138908784017472
28,sfe_2248_n0,10.92921380763346
29,sfe_2248_s0,11.251902853972462
30,sfe_2248_s1,3.807154469446714
31,sfe_2248_s2,10.758706556863574
32,sfe_221_n0,9.38528863445655
33,sfe_221_s0,6.805411128147695
34,sfe_221_s1,6.60737848531156
35,sfe_221_s2,3.541417864910971
36,sfe_209_n0,14.482101650089907
37,sfe_209_s0,0.8220460979540988
38,sfe_209_s1,11.808303210085223
39,sfe_209_s2,2.1903592336975675
