,Case_name,DKL
0,sfe_322_n0,10.218730877737704
1,sfe_322_s0,7.40218348975221
2,sfe_322_s1,9.379165131251426
3,sfe_322_s2,3.4311040078201693
4,sfe_82_n0,23.050281273814683
5,sfe_82_s0,19.313112265798953
6,sfe_82_s1,14.082255448815452
7,sfe_82_s2,11.10680381086878
8,sfe_4523_n0,15.432416818243146
9,sfe_4523_s0,13.155980572123507
10,sfe_4523_s1,7.333428121694725
11,sfe_4523_s2,2.3605603221535905
12,sfe_81_n0,3.6658327447690273
13,sfe_81_s0,3.6106943751625438
14,sfe_81_s1,3.04821174190505
15,sfe_81_s2,1.7175280293260462
16,sfe_24_n0,20.95672093499091
17,sfe_24_s0,15.57094231755303
18,sfe_24_s1,20.256721660595733
19,sfe_24_s2,14.446074256328055
20,sfe_25_n0,19.843910548504965
21,sfe_25_s0,20.551478413591795
22,sfe_25_s1,3.262484208610094
23,sfe_25_s2,6.145055203164015
24,sfe_316_n0,13.484393103198228
25,sfe_316_s0,2.2808937651427836
26,sfe_316_s1,12.997122219251136
27,sfe_316_s2,1.8117999771269275
28,sfe_2248_n0,18.084737448300622
29,sfe_2248_s0,18.509904335247914
30,sfe_2248_s1,7.653151485926262
31,sfe_2248_s2,14.827575407960182
32,sfe_221_n0,14.08752128807374
33,sfe_221_s0,8.777562514272502
34,sfe_221_s1,8.007656069848586
35,sfe_221_s2,4.780293671356297
36,sfe_209_n0,18.019383303558744
37,sfe_209_s0,1.1048906854980551
38,sfe_209_s1,16.23359696823274
39,sfe_209_s2,3.3578947354619113
