,site_name,version,flow_condition,KLDs
0,sfe_322,n0,base,23.68251084405543
1,sfe_322,s0,base,19.793539799595585
2,sfe_322,s1,base,24.16357410647543
3,sfe_322,s2,base,9.48632780766814
4,sfe_82,n0,base,23.22949397106858
5,sfe_82,s0,base,21.314104784999614
6,sfe_82,s1,base,23.07636923604371
7,sfe_82,s2,base,3.2236703264615243
8,sfe_4523,n0,base,19.97861362310968
9,sfe_4523,s0,base,19.068635747170458
10,sfe_4523,s1,base,18.608112757723003
11,sfe_4523,s2,base,1.9564468802811614
12,sfe_81,n0,base,15.741121421946751
13,sfe_81,s0,base,8.536832128924177
14,sfe_81,s1,base,15.341482714154717
15,sfe_81,s2,base,1.629012038950059
16,sfe_24,n0,base,28.454715627226875
17,sfe_24,s0,base,15.354040611093199
18,sfe_24,s1,base,27.15512816009229
19,sfe_24,s2,base,5.185890310276156
20,sfe_25,n0,base,25.102593823982897
21,sfe_25,s0,base,25.08612744340886
22,sfe_25,s1,base,22.097566058528418
23,sfe_25,s2,base,4.995462320612921
24,sfe_316,n0,base,18.295563932606512
25,sfe_316,s0,base,3.785923898583672
26,sfe_316,s1,base,18.730620726560883
27,sfe_316,s2,base,3.8498332117687695
28,sfe_2248,n0,base,26.188248776103503
29,sfe_2248,s0,base,26.149658535196917
30,sfe_2248,s1,base,21.7660152165056
31,sfe_2248,s2,base,13.160736315623653
32,sfe_221,n0,base,24.31402937034823
33,sfe_221,s0,base,13.21427253787184
34,sfe_221,s1,base,24.158523957128075
35,sfe_221,s2,base,3.5218124941683193
36,sfe_209,n0,base,23.323874859955673
37,sfe_209,s0,base,1.4257914843854893
38,sfe_209,s1,base,24.27480446139763
39,sfe_209,s2,base,3.7000177524730278
40,sfe_322,n0,bf,9.70823434865149
41,sfe_322,s0,bf,6.93035637140819
42,sfe_322,s1,bf,9.254702869198617
43,sfe_322,s2,bf,3.40440232639125
44,sfe_82,n0,bf,21.283515834819113
45,sfe_82,s0,bf,16.891409472893276
46,sfe_82,s1,bf,13.472938884515067
47,sfe_82,s2,bf,11.10680381086878
48,sfe_4523,n0,bf,13.022473438935316
49,sfe_4523,s0,bf,11.672098211136714
50,sfe_4523,s1,bf,6.851141746767413
51,sfe_4523,s2,bf,2.3605603221535905
52,sfe_81,n0,bf,3.4668347416726752
53,sfe_81,s0,bf,3.0936146574375107
54,sfe_81,s1,bf,2.8875667970732257
55,sfe_81,s2,bf,1.6136389264582178
56,sfe_24,n0,bf,19.654908936034033
57,sfe_24,s0,bf,14.46333637177439
58,sfe_24,s1,bf,19.793610524138305
59,sfe_24,s2,bf,14.025078870657582
60,sfe_25,n0,bf,17.236625100120243
61,sfe_25,s0,bf,18.13524173787767
62,sfe_25,s1,bf,2.645245894073616
63,sfe_25,s2,bf,5.841408129286383
64,sfe_316,n0,bf,12.596936365129517
65,sfe_316,s0,bf,2.042812004616917
66,sfe_316,s1,bf,11.40250176751165
67,sfe_316,s2,bf,1.657438016362788
68,sfe_2248,n0,bf,17.261519161606255
69,sfe_2248,s0,bf,17.15047874053602
70,sfe_2248,s1,bf,6.1822365748456605
71,sfe_2248,s2,bf,14.724567114382806
72,sfe_221,n0,bf,12.906227169236379
73,sfe_221,s0,bf,8.23856279982692
74,sfe_221,s1,bf,7.827088539794006
75,sfe_221,s2,bf,4.524788697999391
76,sfe_209,n0,bf,16.429132960478317
77,sfe_209,s0,bf,1.0862198289148512
78,sfe_209,s1,bf,14.62814543601659
79,sfe_209,s2,bf,2.761167766493188
